,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
128,晚籼LR,2022-03-17,9,中衍期货,2,2,华安期货,0,-1,华安期货,0,0
129,晚籼LR,2022-03-17,10,华安期货,1,-2,恒泰期货,0,0,恒泰期货,0,0
130,晚籼LR,2022-03-17,11,东证期货,0,-1,中衍期货,0,0,中衍期货,0,0
131,甲醇MA,2022-03-17,1,东证期货,227721,5373,东证期货,110017,4560,东证期货,108966,15155
132,甲醇MA,2022-03-17,2,中信期货,114180,-13215,中信期货,96084,7069,中信期货,69808,10799
133,甲醇MA,2022-03-17,3,光大期货,111971,7590,华泰期货,58301,2149,光大期货,62824,12715
134,甲醇MA,2022-03-17,4,海通期货,81635,-11255,光大期货,53913,12666,东吴期货,50393,6144
135,甲醇MA,2022-03-17,5,华泰期货,75085,24573,东吴期货,51885,5895,瑞达期货,44117,-342
136,甲醇MA,2022-03-17,6,东吴期货,64637,1816,国泰君安,43767,-321,新湖期货,38986,2912
137,甲醇MA,2022-03-17,7,银河期货,57810,-5865,新湖期货,39242,4236,华泰期货,38103,-806
138,甲醇MA,2022-03-17,8,国泰君安,53017,-3171,瑞达期货,37395,-241,国投安信期货,36779,553
139,甲醇MA,2022-03-17,9,新湖期货,50220,168,银河期货,35312,6686,国泰君安,34238,50
140,甲醇MA,2022-03-17,10,中信建投,41121,-400,申银万国,33658,1796,银河期货,34173,6496
141,甲醇MA,2022-03-17,11,徽商期货,39987,2598,国投安信期货,32438,1134,申银万国,33049,3438
142,甲醇MA,2022-03-17,12,东方财富,37198,2675,海通期货,29470,-8728,中辉期货,28840,-1387
143,甲醇MA,2022-03-17,13,申银万国,36784,-8000,广发期货,28500,7968,广发期货,27821,7557
144,甲醇MA,2022-03-17,14,华闻期货,34456,-3054,中辉期货,28278,-1261,海通期货,26863,-3103
145,甲醇MA,2022-03-17,15,国信期货,33733,-270,华闻期货,26322,-3430,永安期货,25700,-3347
146,甲醇MA,2022-03-17,16,广发期货,30671,-10559,浙商期货,24740,42,华闻期货,25542,-3644
147,甲醇MA,2022-03-17,17,永安期货,30082,13254,方正中期,24004,877,中粮期货,22873,-378
148,甲醇MA,2022-03-17,18,方正中期,29949,-1602,中信建投,23880,9220,方正中期,22498,988
149,甲醇MA,2022-03-17,19,国贸期货,29520,16833,徽商期货,21078,338,兴业期货,22413,384
150,甲醇MA,2022-03-17,20,中辉期货,27598,6908,华安期货,18909,-89,中信建投,21339,8135
151,菜油OI,2022-03-17,1,华闻期货,54367,11208,中信期货,19851,-184,中粮期货,14699,-336
152,菜油OI,2022-03-17,2,东证期货,48338,9053,一德期货,11272,1373,中信期货,13774,70
153,菜油OI,2022-03-17,3,海通期货,44603,6180,中信建投,9888,2523,东证期货,8858,1022
154,菜油OI,2022-03-17,4,中信期货,37204,5023,银河期货,9737,381,先锋期货,8496,-8
155,菜油OI,2022-03-17,5,光大期货,34600,6413,东证期货,9675,-730,信达期货,8484,34
156,菜油OI,2022-03-17,6,银河期货,34428,8184,华泰期货,9454,-473,国投安信期货,8243,-1450
157,菜油OI,2022-03-17,7,华西期货,24476,4072,中粮期货,9182,902,中信建投,8056,1579
158,菜油OI,2022-03-17,8,徽商期货,20548,5224,宏源期货,7856,118,浙商期货,6436,300
159,菜油OI,2022-03-17,9,中信建投,18122,7501,国投安信期货,7204,614,兴证期货,6399,373
160,菜油OI,2022-03-17,10,国信期货,16637,-7,国泰君安,6277,-545,银河期货,6099,601
161,菜油OI,2022-03-17,11,兴证期货,15273,2567,永安期货,5671,-147,宏源期货,5407,442
162,菜油OI,2022-03-17,12,锦泰期货,13824,4297,海通期货,5630,-562,安粮期货,5188,-66
163,菜油OI,2022-03-17,13,中辉期货,11412,3971,国元期货,5318,105,海通期货,5064,345
164,菜油OI,2022-03-17,14,东吴期货,11365,5692,浙商期货,5211,30,国元期货,5043,46
165,菜油OI,2022-03-17,15,国泰君安,10606,2339,申银万国,4619,100,光大期货,4823,171
166,菜油OI,2022-03-17,16,华安期货,10550,3964,国盛期货,4110,366,国泰君安,4180,-77
167,菜油OI,2022-03-17,17,华泰期货,10481,4027,安粮期货,3890,145,华泰期货,3883,1914
168,菜油OI,2022-03-17,18,中粮期货,9914,4733,建信期货,3667,-32,方正中期,3802,-262
169,菜油OI,2022-03-17,19,东方财富,9271,2650,方正中期,3545,170,瑞达期货,3739,-1360
170,菜油OI,2022-03-17,20,方正中期,9128,2485,瑞达期货,3305,-398,永安期货,3635,-264
171,短纤PF,2022-03-17,1,中信期货,80828,-8510,永安期货,18790,177,永安期货,22596,-205
172,短纤PF,2022-03-17,2,东证期货,21092,-1195,恒泰期货,14330,320,恒泰期货,14272,331
173,短纤PF,2022-03-17,3,长江期货,17538,830,方正中期,12532,95,物产中大,12761,341
174,短纤PF,2022-03-17,4,中信建投,13071,-1476,兴证期货,12491,-233,瑞达期货,12684,-102
175,短纤PF,2022-03-17,5,华西期货,8692,663,物产中大,12378,331,方正中期,12265,-16
176,短纤PF,2022-03-17,6,国泰君安,8489,626,瑞达期货,9992,659,兴证期货,11825,-152
177,短纤PF,2022-03-17,7,永安期货,8474,-327,招商期货,9965,180,宝城期货,10815,17
178,短纤PF,2022-03-17,8,国信期货,8053,-1144,弘业期货,8859,-85,招商期货,10077,-12
179,短纤PF,2022-03-17,9,华泰期货,8052,-1520,格林大华期货,8652,-33,银河期货,9585,628
180,短纤PF,2022-03-17,10,新湖期货,8037,-201,长江期货,7942,980,中信期货,8816,336
181,短纤PF,2022-03-17,11,方正中期,7249,405,中信期货,7788,-264,格林大华期货,8743,29
182,短纤PF,2022-03-17,12,兴证期货,7039,691,五矿期货,6915,-182,国贸期货,8668,-45
183,短纤PF,2022-03-17,13,徽商期货,7000,-1929,华泰期货,6802,-136,国泰君安,8513,-485
184,短纤PF,2022-03-17,14,银河期货,6773,462,银河期货,6483,-91,五矿期货,7131,-8
185,短纤PF,2022-03-17,15,东吴期货,6676,50,国泰君安,5938,594,长江期货,6891,1036
186,短纤PF,2022-03-17,16,光大期货,6360,943,国投安信期货,5583,-5,广发期货,5847,-64
187,短纤PF,2022-03-17,17,华闻期货,5675,-663,中粮期货,5440,-52,中粮期货,5366,-30
188,短纤PF,2022-03-17,18,广发期货,5466,-403,国贸期货,4779,236,中信建投,4157,-51
189,短纤PF,2022-03-17,19,华安期货,5293,-1195,中信建投,4681,-168,中投天琪,4047,273
190,短纤PF,2022-03-17,20,中粮期货,3862,95,上海中期,4651,26,东吴期货,3978,-24
191,花生PK,2022-03-17,1,中信期货,21524,-2802,国泰君安,4997,-1173,国泰君安,7295,-261
192,花生PK,2022-03-17,2,东证期货,14663,-4913,方正中期,3243,-146,鲁证期货,6397,-355
193,花生PK,2022-03-17,3,华闻期货,10869,-1046,徽商期货,2990,-180,中粮期货,6001,-368
194,花生PK,2022-03-17,4,鲁证期货,5746,547,东吴期货,2475,-3315,一德期货,5080,127
195,花生PK,2022-03-17,5,国泰君安,4890,359,银河期货,2316,843,中信期货,4108,-579
196,花生PK,2022-03-17,6,东吴期货,4487,3202,永安期货,2201,-137,永安期货,3965,-123
197,花生PK,2022-03-17,7,银河期货,4359,1009,华泰期货,2142,-51,东吴期货,2592,-334
198,花生PK,2022-03-17,8,徽商期货,4079,-487,中信期货,2043,9,国投安信期货,2302,58
199,花生PK,2022-03-17,9,光大期货,3906,-989,华安期货,1887,110,银河期货,2096,868
200,花生PK,2022-03-17,10,华安期货,3656,-935,宏源期货,1848,117,中信建投,1785,-21
201,花生PK,2022-03-17,11,新湖期货,3534,-634,浙商期货,1752,5,中融汇信,1724,-6
202,花生PK,2022-03-17,12,海通期货,3093,-1365,国联期货,1560,-106,国元期货,1621,-19
203,花生PK,2022-03-17,13,中信建投,2790,-2368,海通期货,1525,-202,长安期货,1602,-144
204,花生PK,2022-03-17,14,东方财富,2734,-808,申银万国,1504,-211,中原期货,1383,-145
205,花生PK,2022-03-17,15,美尔雅,2693,-251,光大期货,1493,-204,方正中期,1379,-69
206,花生PK,2022-03-17,16,华西期货,2685,-805,中信建投,1483,-303,浙商期货,1351,-883
207,花生PK,2022-03-17,17,方正中期,2615,-833,广发期货,1444,-15,美尔雅,1318,-651
208,花生PK,2022-03-17,18,永安期货,2416,-1953,东证期货,1440,-5,金元期货,1228,-101
209,花生PK,2022-03-17,19,浙商期货,2206,248,东航期货,1394,-78,申银万国,1212,72
210,花生PK,2022-03-17,20,华泰期货,2092,-374,美尔雅,1383,20,创元期货,1159,67
211,早籼RI,2022-03-17,1,海证期货,12,12,中辉期货,3,3,徽商期货,4,2
