,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
118,粳稻JR,2021-01-29,19,瑞达期货,0,0,上海大陆,0,0,华鑫期货,0,0
119,粳稻JR,2021-01-29,20,天风期货,0,-10,国投安信期货,0,0,宏源期货,0,0
120,甲醇MA,2021-01-29,1,东证期货,379525,106266,东证期货,100995,-6795,中信期货,101978,19954
121,甲醇MA,2021-01-29,2,中信期货,138199,55740,中信期货,73119,32509,东证期货,85252,-28670
122,甲醇MA,2021-01-29,3,华闻期货,135994,43179,东吴期货,51074,-2238,永安期货,79455,-2137
123,甲醇MA,2021-01-29,4,东吴期货,129368,6971,光大期货,49991,12346,光大期货,50175,13923
124,甲醇MA,2021-01-29,5,冠通期货,125149,21374,东海期货,37412,3519,东吴期货,49390,-1318
125,甲醇MA,2021-01-29,6,光大期货,102697,28294,华闻期货,36197,3566,国泰君安,38856,-8605
126,甲醇MA,2021-01-29,7,华泰期货,90866,25000,永安期货,34465,-1006,华泰期货,38332,-4935
127,甲醇MA,2021-01-29,8,东海期货,78749,25410,冠通期货,33273,-5505,东海期货,35137,1508
128,甲醇MA,2021-01-29,9,瑞达期货,73810,11284,华泰期货,32879,2955,华闻期货,34216,3272
129,甲醇MA,2021-01-29,10,徽商期货,66490,14948,中辉期货,26774,549,申银万国,30225,7322
130,甲醇MA,2021-01-29,11,永安期货,65853,33475,徽商期货,24372,-2844,冠通期货,26816,-6708
131,甲醇MA,2021-01-29,12,中辉期货,65009,10446,中信建投,24241,-1780,中辉期货,22300,-630
132,甲醇MA,2021-01-29,13,国泰君安,64615,24195,国泰君安,22154,-6410,中粮期货,21662,-4910
133,甲醇MA,2021-01-29,14,国富期货,63523,12995,海通期货,20705,3558,广发期货,19692,-643
134,甲醇MA,2021-01-29,15,长安期货,58436,9554,新湖期货,20415,115,瑞达期货,19071,-9910
135,甲醇MA,2021-01-29,16,海通期货,53581,12562,广发期货,19182,-1385,中信建投,18963,-1667
136,甲醇MA,2021-01-29,17,申银万国,49070,1174,华安期货,19088,-1504,国富期货,18713,-1082
137,甲醇MA,2021-01-29,18,山西三立,48572,10918,安粮期货,17719,-1805,宏源期货,18694,-1697
138,甲醇MA,2021-01-29,19,河北恒银,48468,1129,弘业期货,17042,-9,新湖期货,18366,534
139,甲醇MA,2021-01-29,20,迈科期货,41575,12894,兴业期货,16991,1279,徽商期货,17459,-48
140,菜油OI,2021-01-29,1,海通期货,118934,30104,中信期货,14103,-722,中粮期货,28183,-298
141,菜油OI,2021-01-29,2,东证期货,90783,15824,国富期货,13888,753,国投安信期货,18638,30
142,菜油OI,2021-01-29,3,中信期货,40836,12454,东证期货,10787,580,摩根大通,10397,-314
