,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
179,花生PK,2021-12-01,11,东方财富,2899,-3491,永安期货,3493,182,东证期货,3869,-63
180,花生PK,2021-12-01,12,新湖期货,2847,-2397,广发期货,3226,59,中粮期货,3680,365
181,花生PK,2021-12-01,13,方正中期,2626,-4571,海通期货,3136,-306,国富期货,3620,1687
182,花生PK,2021-12-01,14,华安期货,2521,-2534,鲁证期货,3129,18,山金期货,3616,1264
183,花生PK,2021-12-01,15,华泰期货,2426,-3234,国信期货,3041,91,中信期货,3392,-193
184,花生PK,2021-12-01,16,一德期货,2220,11,宏源期货,2798,192,金元期货,3361,-189
185,花生PK,2021-12-01,17,创元期货,2212,-297,申银万国,2795,280,中财期货,3240,-168
186,花生PK,2021-12-01,18,国泰君安,2167,-7646,华泰期货,2768,80,鲁证期货,2862,-166
187,花生PK,2021-12-01,19,山金期货,2150,-74,华安期货,2645,128,华鑫期货,2854,17
188,花生PK,2021-12-01,20,兴证期货,2111,-2646,中辉期货,2601,67,金鹏期货,2826,-35
189,普麦PM,2021-12-01,1,中财期货,0,0,中财期货,1,0,徽商期货,1,0
190,普麦PM,2021-12-01,2,徽商期货,0,0,徽商期货,0,0,中财期货,0,0
191,早籼RI,2021-12-01,1,华西期货,0,-2,弘业期货,1,0,弘业期货,1,0
192,早籼RI,2021-12-01,2,弘业期货,0,0,财信期货,1,0,创元期货,1,0
193,早籼RI,2021-12-01,3,长城期货,0,-1,华西期货,0,0,华西期货,0,0
194,早籼RI,2021-12-01,4,创元期货,0,0,长城期货,0,0,长城期货,0,0
195,早籼RI,2021-12-01,5,东证期货,0,-1,创元期货,0,0,东证期货,0,0
196,早籼RI,2021-12-01,6,东航期货,0,-2,东证期货,0,0,东航期货,0,0
197,早籼RI,2021-12-01,7,中辉期货,0,-2,东航期货,0,0,中辉期货,0,0
198,早籼RI,2021-12-01,8,财信期货,0,0,中辉期货,0,0,财信期货,0,0
199,菜粕RM,2021-12-01,1,东证期货,221899,-68480,中信期货,38494,-758,中粮期货,48056,952
200,菜粕RM,2021-12-01,2,海通期货,208064,-93058,东证期货,34576,-5472,国投安信期货,27820,1156
201,菜粕RM,2021-12-01,3,中信期货,102001,-31832,宏源期货,20749,-432,上海中期,26529,-72
202,菜粕RM,2021-12-01,4,光大期货,91404,-5289,国泰君安,16875,-299,浙商期货,22672,-559
203,菜粕RM,2021-12-01,5,国泰君安,90319,-32295,中粮期货,16274,-1413,海通期货,16435,-1064
204,菜粕RM,2021-12-01,6,银河期货,58890,-17174,方正中期,15719,705,中信期货,16092,835
205,菜粕RM,2021-12-01,7,国信期货,46317,-13373,首创期货,14382,-14,国泰君安,14912,-1580
206,菜粕RM,2021-12-01,8,华西期货,46068,-21188,国投安信期货,14291,261,瑞达期货,12225,329
207,菜粕RM,2021-12-01,9,新湖期货,42139,-9463,浙商期货,12420,243,徽商期货,12055,-842
208,菜粕RM,2021-12-01,10,徽商期货,37606,-8547,银河期货,12170,466,方正中期,11280,-1507
209,菜粕RM,2021-12-01,11,华泰期货,33181,-3890,华泰期货,11852,-2304,鲁证期货,10338,360
210,菜粕RM,2021-12-01,12,中信建投,30307,-5217,永安期货,11025,-2,兴证期货,9574,-574
211,菜粕RM,2021-12-01,13,东方财富,27303,-3029,光大期货,9739,-4498,南华期货,9529,-661
212,菜粕RM,2021-12-01,14,美尔雅,27155,-6467,申银万国,9377,-656,东吴期货,9462,-172
213,菜粕RM,2021-12-01,15,东吴期货,26893,-28973,广发期货,8745,352,华泰期货,9103,975
214,菜粕RM,2021-12-01,16,中粮期货,24557,-15108,平安期货,8613,-755,光大期货,8931,-4548
215,菜粕RM,2021-12-01,17,华安期货,23774,-8177,徽商期货,8546,534,五矿期货,8473,-260
216,菜粕RM,2021-12-01,18,华闻期货,22686,-6400,东吴期货,8534,-247,华安期货,8412,-453
217,菜粕RM,2021-12-01,19,兴证期货,18786,-6779,华西期货,8486,46,华西期货,8211,-2
218,菜粕RM,2021-12-01,20,方正中期,16974,-9229,海通期货,8482,1436,安粮期货,8061,-329
219,菜籽RS,2021-12-01,1,银河期货,3,3,华融融达期货,10,0,申银万国,4,0
